pore width [A],comulative number of pores []
17.662393951305845,2.7577142845247283e+19
20.050458654684657,4.384061881736685e+19
22.597059420343506,5.3949330231731356e+19
25.100668446888925,6.159588592250312e+19
28.391377702822215,6.928025056367529e+19
31.651434006120173,7.958512886537462e+19
35.67147002935375,1.3123862807465837e+20
39.7674671286963,1.7998031450074713e+20
44.17344703140067,2.037881318715879e+20
50.878030474304445,2.2638752274814514e+20
59.02641679685214,2.4890659017480605e+20
70.23886708726396,2.7011103870404798e+20
86.03934368725461,2.9075044435639006e+20
106.9327993698831,3.088372134445044e+20
151.96607835160899,3.197447370935837e+20
213.62972612143693,3.272321929618595e+20
226.38034095214465,3.3461172236737525e+20
239.02436412630746,3.412492393618763e+20
266.4704744583994,3.459743808766477e+20
308.02903842156445,3.4894836692441196e+20
361.2671570857944,3.508019273844931e+20
442.5354562283111,3.5176309598791644e+20
551.9954321281556,3.5231987691026055e+20
770.3771329277976,3.524503389446029e+20
1059.685583379251,3.524935478689774e+20
1307.5061644098355,3.525160922817294e+20
2368.690188918573,3.5252198021806116e+20
